portOfLading;portOfLadingRegion
All Faroe Islands Ports, Svalbard and Jan Mayen Islands;Northern Europe
Marystown, Nfld, Canada;North America
Iggesund, Sweden;Northern Europe
Alleppey, India;Southern Asia
Treasure Cay, Bahamas;Caribbean
Corinth, Greece;Southern Europe
Mar Del Plata, Argentina;South America
Alligator Pond, Jamaica;Caribbean
El Ismailiya, Egypt;Northern Africa
Banjul, Gambia;Western Africa
All Guinea Bissau Ports, Guinea-Bissau;Western Africa
Funabashi, Japan;Eastern Asia
Dalrymple Bay, Australia;Australasia
Westernport, Australia;Australasia
Laayoune, Western Sahara;Northern Africa
Ashkelon, Israel;Western Asia
Rochefort, France;Western Europe
Cardiff, United Kingdom;Western Europe
Kanokawa, Japan;Eastern Asia
Pilos, Greece;Western Europe
Utila Bay, Honduras;Central America
Katang, Thailand;South-Eastern Asia
Botwood, Nfld, Canada;North America
Middlesbrough, United Kingdom;Western Europe
Corunna, Ont, Canada;North America
Bayonne, France;Western Europe
Santa Cruz De La Palma, Spain;Western Europe
Port Clements, Bc, Canada;North America
Itea, Greece;Southern Europe
Saint Catharines, Ont, Canada;North America
Summerside, Pei, Canada;North America
Aveiro, Portugal;Western Europe
Tripoli, Libya;Northern Africa
Aveiro, Portugal;Southern Europe
Seria, Brunei Darussalam;South-Eastern Asia
Toros Gubre, Turkey;Western Asia
San Nicolas, Argentina;South America
Nyborg, Denmark;Northern Europe
Kuala Tanjung, Indonesia;South-Eastern Asia
Brevik, Norway;Northern Europe
Duncan Bay, Bc, Canada;North America
Port Dickson, Malaysia;South-Eastern Asia
Kushiro, Japan;Eastern Asia
Tromso, Norway;Northern Europe
San Ciprian, Spain;Southern Europe
Ceuta, Spain;Western Europe
Supe, Peru;South America
Cruz Bay, St. John I., Virgin Islands (U.S.);Caribbean
Port Weller, Ont, Canada;North America
Cancun, Mexico;North America
Trelleborg, Sweden;Northern Europe
Vada, Italy;Western Europe
Vada, Italy;Southern Europe
Breves, Brazil;South America
All Other Sardinia Ports, Italy;Southern Europe
Santa Fe, Argentina;South America
Police, Poland;Eastern Europe
Kuala Terengganu, Malaysia;South-Eastern Asia
Yatsushiro, Japan;Eastern Asia
Bluff Harbor, New Zealand;Australasia
Launceston, Australia;Australasia
Aardal, Norway;Northern Europe
All Wallis And Futuna Ports, Wallis and Futuna Islands;Polynesia
Port Vila, Vanuatu;Melanesia
Niigata, Japan;Eastern Asia
Tainan, Taiwan;Eastern Asia
Moengo, Suriname;South America
Cockburn Harbor, Turks and Caicos Islands;Caribbean
Saint George, Nb, Canada;North America
Al Bakir, Iraq;Western Asia
Bar, Serbia;Southern Europe
Utansjo, Sweden;Northern Europe
Plymouth, Montserrat;Caribbean
El Ferrol, Spain;Western Europe
Aviles, Spain;Western Europe
Port Nelson, Bahamas;Caribbean
Newcastle On Tyne, United Kingdom;Western Europe
Nha Trang, Vietnam;South-Eastern Asia
Malongo Oil Terminal, Angola;Southern Africa
Lucina Terminal, Gabon;Middle Africa
Union Bay, Bc, Canada;North America
Coco Solo, Panama;Central America
Calica, Mexico;Central America
Sibuco Bay, Indonesia;South-Eastern Asia
Karatsu, Japan;Eastern Asia
Gresik, Indonesia;South-Eastern Asia
Corunna, Spain;Western Europe
Victoria, Malaysia;South-Eastern Asia
Odense, Denmark;Western Europe
Odense, Denmark;Northern Europe
Flotta, United Kingdom;Western Europe
Ridham Dock, United Kingdom;Northern Europe
Isabel, Philippines;South-Eastern Asia
Spitsbergen, Svalbard and Jan Mayen Islands;Northern Europe
Kasim, Indonesia;South-Eastern Asia
Dubrovnik, Croatia;Southern Europe
St. Romuald, Que, Canada;North America
Paradip, India;Southern Asia
Pontianak, Indonesia;South-Eastern Asia
Hadera, Israel;Western Asia
Dagenham, United Kingdom;Northern Europe
Praia, Portugal;Western Europe
Gove, Australia;Australasia
North Sydney, Ns, Canada;North America
Ishinomaki, Japan;Eastern Asia
Ayia Marina, Greece;Southern Europe
Conchan, Peru;South America
Grande Anse, Grenada;Caribbean
Cavala, Greece;Western Europe
Hemiksem, Belgium;Western Europe
All French Southern And Antartic Lands, French Southern Territories;Antarctica
Trincomali, Sri Lanka;Southern Asia
Cutuco, El Salvador;Central America
Bar, Serbia;Eastern Europe
Tembladora, Trinidad and Tobago;Caribbean
Ibiza, Spain;Southern Europe
Durazzo, Albania;Eastern Europe
Drogheda, Ireland;Northern Europe
Tegal, Indonesia;South-Eastern Asia
Nantes, France;Western Europe
Port Edward, Bc, Canada;North America
Cabinda, Angola;Southern Africa
Heraklion, Greece;Western Europe
Floro, Norway;Northern Europe
Dubrovnik, Croatia;Eastern Europe
Port Lucaya, Bahamas;Caribbean
Mariveles, Philippines;South-Eastern Asia
Cigading, Indonesia;South-Eastern Asia
Skaramanga, Greece;Western Europe
Nykobing, Denmark;Western Europe
Gazireh Ye Lavan, Iran;Western Asia
Souda Bay, Greece;Southern Europe
Haugesund, Norway;Northern Europe
Gizan, Saudi Arabia;Western Asia
Fort Baii, Netherlands Antilles;Caribbean
Crotone, Italy;Western Europe
Cape Beale, Bc, Canada;North America
Pitcairn Islands, Pitcairn;Polynesia
Milford Haven, United Kingdom;Western Europe
Miya Ko, Japan;Eastern Asia
Patras, Greece;Southern Europe
Esperance, Australia;Australasia
Figueira Da Foz, Portugal;Southern Europe
Munguba, Brazil;South America
Miike, Japan;Eastern Asia
All Other Wales Ports, United Kingdom;Western Europe
Nouadhibou, Mauritania;Western Africa
Marathon, Ont, Canada;North America
Skaramanga, Greece;Southern Europe
Dover, United Kingdom;Northern Europe
Dover, United Kingdom;Western Europe
Palamos, Spain;Southern Europe
Palamos, Spain;Western Europe
Gandia, Spain;Western Europe
Lorient, France;Western Europe
Oskarshamn, Sweden;Northern Europe
Hartlepool, United Kingdom;Western Europe
Ladysmith, Bc, Canada;North America
Sousee, Tunisia;Northern Africa
Hango, Finland;Northern Europe
Inga, Finland;Northern Europe
Kribi, Cameroon;Western Africa
All Other Labrador Ports, Canada;North America
Motril, Spain;Western Europe
All Colombia Amazon Region Ports, Colombia;South America
Parry Sound, Ont, Canada;North America
Abu Kir Bay, Egypt;Northern Africa
Benoa, Indonesia;South-Eastern Asia
Monte Carlo, Monaco;Western Europe
Taganrog, Russia;Eastern Europe
Ahvaz, Iran;Western Asia
Ahvaz, Iran;Southern Asia
Beauharnoi, Que, Canada;North America
All Other Azores Ports, Portugal;Western Europe
All Other Senegal Ports, Senegal;Western Africa
Nueva Palmira, Uruguay;South America
All Other Somalia Northern Region Ports, Somalia;Eastern Africa
Saipan, Northern Mariana Islands;Micronesia
