portOfLading;portOfLadingRegion
Sluiskil, Netherlands;Western Europe
Bari, Italy;Southern Europe
Cayo Arcas, Mexico;North America
London, United Kingdom;Northern Europe
Cartagena, Spain;Western Europe
Yokkaiti, Japan;Eastern Asia
Tracy, Que, Canada;North America
Valletta, Malta;Western Europe
Dublin, Ireland;Western Europe
All Other Madagascar Ports, Madagascar;Eastern Africa
Gafle, Sweden;Northern Europe
San T Ou, China;Eastern Asia
Praia Mole, Brazil;South America
Milos Island, Greece;Southern Europe
Cat Cay, Bahamas;Caribbean
Constanta, Romania;Eastern Europe
All Other Guatemala Caribbean Region Ports, Guatemala;Central America
All Other Oman Ports, Oman;Western Asia
Arawak Cay, Bahamas;Caribbean
All Other Guadeloupe Ports, Guadeloupe;Caribbean
Hualien, Taiwan;Eastern Asia
Cozumel Island, Mexico;North America
Muuga, Estonia;Northern Europe
Picton, Ont, Canada;North America
Sendai, Japan;Eastern Asia
Tuxpan, Mexico;Central America
All Other Venezuela Ports, Venezuela;South America
Ojibway, Ont, Canada;North America
Yingkou, China;Eastern Asia
Copenhagen, Denmark;Northern Europe
All Other Cameroon Ports, Cameroon;Middle Africa
London, United Kingdom;Western Europe
Vigo, Spain;Western Europe
Kereth, Malaysia;South-Eastern Asia
Aberdeen, United Kingdom;Northern Europe
Grangemouth, United Kingdom;Northern Europe
Cul De Sac, Saint Lucia;Caribbean
Montrose, United Kingdom;Northern Europe
Liverpool, Ns, Canada;North America
Taranto, Italy;Western Europe
Trombetas, Brazil;South America
All Other Russia Black Sea Region Ports, Russia;Eastern Europe
Stockholm, Sweden;Northern Europe
Bedi, India;Southern Asia
All Other Cuba Ports, Cuba;Caribbean
Tokuyama, Japan;Eastern Asia
Stavanger, Norway;Northern Europe
Yarmouth, Ns, Canada;North America
All Other Ireland Ports, Ireland;Northern Europe
Great Harbour Cay, Bahamas;Caribbean
Susaki, Japan;Eastern Asia
Thamesport, United Kingdom;Northern Europe
Bonaberi, Cameroon;Middle Africa
Gijon, Spain;Southern Europe
